Team,Runs,Hits,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS
ARI,45,75,17,5,7,45,6,1,45,84,.244,.342,.399,.741
ATL,62,90,23,2,11,59,6,1,37,65,.285,.366,.475,.840
BAL,37,78,15,1,12,36,6,0,36,116,.210,.283,.353,.636
BOS,42,82,26,1,7,41,6,3,35,56,.252,.330,.403,.733
CHC,39,75,18,5,8,35,3,2,41,93,.223,.322,.377,.699
CHW,37,68,13,2,14,37,6,1,28,78,.250,.338,.467,.805
CIN,25,61,9,1,6,23,2,0,28,70,.233,.314,.344,.658
CLE,27,47,7,0,9,26,10,1,34,77,.159,.252,.274,.526
COL,37,79,15,1,13,37,5,2,37,93,.234,.309,.399,.708
DET,38,66,19,3,2,37,7,3,36,61,.230,.321,.338,.659
HOU,47,82,18,2,10,47,6,1,38,96,.251,.331,.410,.740
KCR,16,45,7,3,2,15,3,2,17,40,.205,.264,.291,.555
LAA,60,97,20,2,17,55,3,0,24,72,.264,.318,.469,.787
LAD,29,70,12,1,4,25,3,2,33,75,.213,.285,.293,.578
MIA,30,73,12,1,3,28,2,2,35,88,.217,.302,.286,.588
MIL,33,81,18,0,9,33,7,3,24,95,.233,.289,.363,.652
MIN,34,60,17,0,12,31,5,0,24,66,.243,.311,.457,.769
NYM,39,67,14,1,8,37,3,2,38,74,.253,.358,.404,.762
NYY,55,84,21,1,13,54,4,3,49,89,.237,.334,.412,.747
OAK,44,93,16,2,12,42,3,1,42,96,.253,.336,.405,.741
PHI,42,63,16,1,8,41,9,4,39,81,.236,.331,.393,.724
PIT,58,89,21,3,9,53,5,5,37,54,.283,.359,.455,.814
SDP,30,75,17,2,9,28,3,3,30,94,.221,.295,.362,.657
SEA,32,66,13,0,7,31,4,0,22,55,.277,.340,.420,.760
SFG,24,71,11,0,10,23,5,1,17,69,.247,.287,.389,.676
STL,36,71,8,0,13,35,4,2,24,87,.236,.296,.392,.688
TBR,27,60,10,3,4,27,2,0,30,87,.201,.272,.295,.567
TEX,38,86,19,0,9,35,2,5,31,84,.240,.304,.369,.673
TOR,52,76,19,2,15,49,5,1,34,93,.233,.307,.442,.749
WSN,45,77,14,0,14,44,14,2,49,75,.241,.350,.417,.767
